"","Brand","Year","Price","Odometer","Fuel","Seller_Type","Transmission","Owner"
"1","Maruti",2007,60000,70000,"Petrol","Individual","Manual","First Owner"
"2","Maruti",2007,135000,50000,"Petrol","Individual","Manual","First Owner"
"3","Hyundai",2012,600000,100000,"Diesel","Individual","Manual","First Owner"
"4","Datsun",2017,250000,46000,"Petrol","Individual","Manual","First Owner"
"5","Honda",2014,450000,141000,"Diesel","Individual","Manual","Second Owner"
"6","Maruti",2007,140000,125000,"Petrol","Individual","Manual","First Owner"
"7","Hyundai",2016,550000,25000,"Petrol","Individual","Manual","First Owner"
"8","Tata",2014,240000,60000,"Petrol","Individual","Manual","Second Owner"
"9","Hyundai",2015,850000,25000,NA,"Individual","Manual","First Owner"
"10","Maruti",2017,365000,78000,"CNG","Individual","Manual","First Owner"
"11","Chevrolet",2015,260000,35000,"Petrol","Individual","Manual","First Owner"
"12","Tata",2014,250000,100000,"Petrol","Individual","Manual","First Owner"
"13","Toyota",2018,1650000,25000,"Petrol","Dealer","Automatic","First Owner"
"14","Maruti",2007,60000,70000,"Petrol","Individual","Manual","First Owner"
"15","Maruti",2007,135000,50000,"Petrol","Individual","Manual","First Owner"
"16","Hyundai",2012,600000,100000,"Diesel","Individual","Manual","First Owner"
"17","Datsun",2017,250000,46000,"Petrol","Individual","Manual","First Owner"
"18","Honda",2014,450000,141000,"Diesel","Individual","Manual","Second Owner"
"19","Maruti",2007,140000,125000,"Petrol","Individual","Manual","First Owner"
"20","Hyundai",2016,550000,25000,"Petrol","Individual","Manual","First Owner"
"21","Tata",2014,240000,60000,"Petrol","Individual","Manual","Second Owner"
"22","Hyundai",2015,850000,25000,"Petrol","Individual","Manual","First Owner"
"23","Maruti",2017,365000,78000,"CNG","Individual","Manual","First Owner"
"24","Chevrolet",2015,260000,35000,"Petrol","Individual","Manual","First Owner"
"25","Tata",2014,250000,100000,"Petrol","Individual","Manual","First Owner"
"26","Toyota",2018,1650000,25000,"Petrol","Dealer","Automatic","First Owner"
"27","Maruti",2015,585000,24000,"Petrol","Dealer","Manual","First Owner"
"28","Hyundai",2019,1195000,5000,"Diesel","Dealer","Manual","First Owner"
"29","Chevrolet",2013,390000,33000,"Diesel","Individual","Manual","Second Owner"
"30","Jaguar",2014,1964999,28000,"Diesel","Dealer","Automatic","First Owner"
"31",NA,2013,1425000,59000,"Diesel","Dealer","Automatic","First Owner"
"32","Maruti",2018,975000,4500,"Diesel","Dealer","Automatic","First Owner"
"33","Audi",2011,1190000,175900,"Diesel","Dealer","Automatic","First Owner"
"34","Honda",2018,930000,14500,"Petrol","Dealer","Manual","First Owner"
"35","Tata",2018,525000,15000,"Petrol","Individual","Manual","First Owner"
"36","Audi",2013,1735000,50000,"Diesel","Dealer","Automatic","First Owner"
"37","Mercedes-Benz",2012,1375000,33800,"Diesel","Dealer","Automatic","Second Owner"
"38","Skoda",2011,450000,130400,"Diesel","Dealer","Automatic","Second Owner"
"39","Toyota",2016,900000,50000,"Petrol","Individual","Automatic","First Owner"
"40","Toyota",2015,1300000,80000,"Diesel","Individual","Manual","First Owner"
"41",NA,2019,1400000,10000,"Petrol","Individual","Manual","First Owner"
"42","Mercedes-Benz",2010,850000,119000,"Petrol","Dealer","Automatic","First Owner"
"43","Hyundai",2014,229999,60000,"Petrol","Individual","Manual","Fourth & Above Owner"
"44","BMW",2013,1550000,75800,"Diesel","Dealer","Automatic","Second Owner"
"45","Audi",2009,1250000,78000,"Diesel","Dealer","Automatic","Third Owner"
"46","Hyundai",2012,625000,40000,"Diesel","Individual","Manual","First Owner"
"47","Mahindra",2014,1050000,50000,"Diesel","Individual","Manual","First Owner"
"48","Honda",2014,560000,74000,"Diesel","Individual","Manual","Second Owner"
"49","Maruti",2014,290000,64000,"Petrol","Individual","Manual","Second Owner"
"50","Maruti",2012,275000,60000,"Petrol","Individual","Manual","Second Owner"
"51","Mahindra",2009,411000,120000,"Diesel","Individual","Manual","Second Owner"
"52","Hyundai",2009,150000,79000,"Petrol","Individual","Manual","Third Owner"
"53","Hyundai",2019,500000,15000,NA,"Individual","Manual","First Owner"
"54","Maruti",2006,100000,80000,"Petrol","Individual","Manual","First Owner"
"55","Maruti",2017,725000,18500,"Diesel","Dealer","Manual","First Owner"
"56","Maruti",2018,401000,10200,"Petrol","Dealer","Manual","First Owner"
"57","Hyundai",2018,750000,29000,"Diesel","Dealer","Manual","First Owner"
"58","Maruti",2018,310000,28000,"Petrol","Dealer","Manual","First Owner"
"59","Maruti",2016,665000,46000,"Diesel","Dealer","Manual","First Owner"
"60","Hyundai",2014,465000,70000,"Diesel","Dealer","Manual","First Owner"
"61","Maruti",2012,160000,60000,"Petrol","Individual","Manual","Second Owner"
"62","Mahindra",1996,250000,35000,"Diesel","Individual","Manual","Second Owner"
"63","Honda",2014,675000,90000,"Diesel","Dealer","Manual","First Owner"
"64","Maruti",2013,300000,80000,"Petrol","Dealer","Manual","First Owner"
"65","Tata",2005,70000,80000,"Diesel","Individual","Manual","First Owner"
"66","Hyundai",2014,240000,73300,"Petrol","Dealer","Manual","Second Owner"
"67","Toyota",2014,525000,92000,"Diesel","Dealer","Manual","First Owner"
"68","Maruti",2009,151000,66764,"Petrol","Dealer","Manual","Second Owner"
"69","Maruti",2009,140000,100000,"Petrol","Individual","Manual","First Owner"
